row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
4,ArcFace,ArcFace,vggface2_pairs,dodging_attack,IDAA,vanilla,-0.15736197654029602
7,ArcFace,ArcFace,vggface2_pairs,dodging_attack,IDAA,vanilla,-0.05702595885979774
10,ArcFace,ArcFace,vggface2_pairs,dodging_attack,IDAA,vanilla,0.006325710158233024
11,ArcFace,ArcFace,vggface2_pairs,dodging_attack,IDAA,vanilla,-0.12256298477199369
0,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,IDAA,vanilla,0.22298690253929504
32,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,IDAA,vanilla,0.17894004468797106
48,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,IDAA,vanilla,0.16345583068112846
57,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,IDAA,vanilla,0.09776519246094237
60,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,IDAA,vanilla,-0.0389673176273596
2,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,IDAA,vanilla,0.08061941591586473
8,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,IDAA,vanilla,0.1428274437843297
12,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,IDAA,vanilla,0.036561450210115934
26,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,IDAA,vanilla,0.21575415094916692
34,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,IDAA,vanilla,0.11410511241998847
3,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.1330542226972777
5,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.17366332330536086
17,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,IDAA,vanilla,-0.0682833266566431
19,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.09141331349066446
21,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.21483712568388852
6,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,IDAA,vanilla,0.3700375581491171
9,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,IDAA,vanilla,0.29167762706341077
15,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,IDAA,vanilla,0.28513079459974877
16,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,IDAA,vanilla,0.01870794123575083
23,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,IDAA,vanilla,0.16808775751080168
18,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,IDAA,vanilla,0.18464486061772953
27,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,IDAA,vanilla,0.12335245523181032
28,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,IDAA,vanilla,0.17398213249240996
30,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,IDAA,vanilla,0.11861998426662929
33,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,IDAA,vanilla,0.43324150526228744
1,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,IDAA,vanilla,0.18365492998780333
4,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,IDAA,vanilla,0.04731045010979686
7,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,IDAA,vanilla,0.016337774433299028
10,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,IDAA,vanilla,0.18318429547867293
11,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,IDAA,vanilla,0.006930495812634342
0,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,IDAA,vanilla,0.45467657556156266
32,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,IDAA,vanilla,0.36465773550939456
48,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,IDAA,vanilla,0.15969018360193407
57,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,IDAA,vanilla,0.3631746631706833
60,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,IDAA,vanilla,0.2957297361232602
2,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,IDAA,vanilla,0.38973087639676435
8,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,IDAA,vanilla,0.24748437870155338
12,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,IDAA,vanilla,0.15364317577215425
26,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,IDAA,vanilla,0.07926506710238869
34,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,IDAA,vanilla,0.21641263583167866
