row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
4,ArcFace,ArcFace,vggface2_pairs,dodging_attack,FAUG,vanilla,-0.3203406800713658
7,ArcFace,ArcFace,vggface2_pairs,dodging_attack,FAUG,vanilla,-0.2272484938341506
10,ArcFace,ArcFace,vggface2_pairs,dodging_attack,FAUG,vanilla,-0.11602257081622587
11,ArcFace,ArcFace,vggface2_pairs,dodging_attack,FAUG,vanilla,-0.1770662227754685
0,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,FAUG,vanilla,0.18066463081738313
32,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,FAUG,vanilla,0.14370709965299003
48,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,FAUG,vanilla,0.13833808746765794
57,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,FAUG,vanilla,0.032281595123920676
60,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,FAUG,vanilla,-0.08675175783174399
2,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,FAUG,vanilla,0.06610855342317183
8,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,FAUG,vanilla,0.04944286952268184
12,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,FAUG,vanilla,0.06756494001635328
26,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,FAUG,vanilla,0.17384735786744512
34,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,FAUG,vanilla,0.0811384093088695
3,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.13924392899123733
5,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.12394652665675926
17,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,FAUG,vanilla,-0.04955573778121965
19,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.09882419249462335
21,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.17151321220660448
6,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,FAUG,vanilla,0.36279435112030284
9,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,FAUG,vanilla,0.2603143664435504
15,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,FAUG,vanilla,0.36034082450891153
16,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,FAUG,vanilla,0.11228954186902015
23,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,FAUG,vanilla,0.31268031484855874
18,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,FAUG,vanilla,0.31609899298346167
27,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,FAUG,vanilla,0.21993290037499633
28,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,FAUG,vanilla,0.13959451161433786
30,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,FAUG,vanilla,0.19734217810306964
33,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,FAUG,vanilla,0.49360561087623955
1,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,FAUG,vanilla,0.2239624000312753
4,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,FAUG,vanilla,0.03894700284747893
7,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,FAUG,vanilla,0.1424193598515643
10,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,FAUG,vanilla,0.1812392961124873
11,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,FAUG,vanilla,0.03865924215874609
0,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,FAUG,vanilla,0.38011254026950847
32,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,FAUG,vanilla,0.34543783347918
48,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,FAUG,vanilla,0.12321765201731585
57,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,FAUG,vanilla,0.3351562238856773
60,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,FAUG,vanilla,0.1969454850936662
2,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,FAUG,vanilla,0.30041336054268425
8,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,FAUG,vanilla,0.21355521124633403
12,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,FAUG,vanilla,0.10340836344451265
26,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,FAUG,vanilla,0.06269345877054955
34,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,FAUG,vanilla,0.18283537105473316
3,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.14966996431514665
5,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.06739345214764263
17,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.24081996951784154
19,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.2219502226813339
21,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.11697263673298176
6,ArcFace,VGG-Face,lfw_pairs,dodging_attack,FAUG,vanilla,0.37504245759064514
9,ArcFace,VGG-Face,lfw_pairs,dodging_attack,FAUG,vanilla,0.3180464484520407
15,ArcFace,VGG-Face,lfw_pairs,dodging_attack,FAUG,vanilla,0.44206707467514245
16,ArcFace,VGG-Face,lfw_pairs,dodging_attack,FAUG,vanilla,0.3534874386006279
23,ArcFace,VGG-Face,lfw_pairs,dodging_attack,FAUG,vanilla,0.4645757855203912
18,ArcFace,VGG-Face,celeba_pairs,dodging_attack,FAUG,vanilla,0.33116224959485463
27,ArcFace,VGG-Face,celeba_pairs,dodging_attack,FAUG,vanilla,0.27467377521642244
28,ArcFace,VGG-Face,celeba_pairs,dodging_attack,FAUG,vanilla,0.5993484819183202
30,ArcFace,VGG-Face,celeba_pairs,dodging_attack,FAUG,vanilla,0.10636382078115335
33,ArcFace,VGG-Face,celeba_pairs,dodging_attack,FAUG,vanilla,0.5680901296929136
1,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,FAUG,vanilla,0.2691905172400787
4,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,FAUG,vanilla,0.25929974949680956
7,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,FAUG,vanilla,0.21281068612558554
10,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,FAUG,vanilla,0.3495459181140462
11,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,FAUG,vanilla,0.35515952181828264
